rep,split,block,stat,df,p_chi2,reject
0,train,A5_outcome_base,36.74787530246735,2,1.0478527712187713e-08,True
0,train,A2_outcome_disc,20.119036407079392,2,4.27766483512837e-05,True
0,train,A2_outcome_clarity,26.070972572282287,2,2.1815252144730124e-06,True
0,train,A2_outcome_len,42.12684389228279,2,7.116591760336632e-10,True
0,train,A2_outcome_full,181.03483516339205,6,0.0,True
0,train,A5_outcome|A2_outcome_full,14.893550336649458,2,0.0005833196901371407,True
0,test,A5_outcome_base,16.21127597623137,2,0.0003018326032576679,True
0,test,A2_outcome_disc,0.7694870827415659,2,0.6806251660208805,False
0,test,A2_outcome_clarity,0.25400321009324417,2,0.8807322589796852,False
0,test,A2_outcome_len,11.164114967246006,2,0.0037648115066324372,True
0,test,A2_outcome_full,21.0528838558883,6,0.0017949051118023585,True
0,test,A5_outcome|A2_outcome_full,1.2704347493551589,2,0.5298203062809401,False
1,train,A5_outcome_base,53.32118188951037,2,2.6391111518364596e-12,True
1,train,A2_outcome_disc,21.191318546448393,2,2.5024398394690728e-05,True
1,train,A2_outcome_clarity,17.114556943124335,2,0.0001921415012764438,True
1,train,A2_outcome_len,57.18179228807138,2,3.829159211932165e-13,True
1,train,A2_outcome_full,174.48306250577053,6,0.0,True
1,train,A5_outcome|A2_outcome_full,9.677595293507057,2,0.007916566841423278,True
1,test,A5_outcome_base,14.230739296455287,2,0.000812520309124154,True
1,test,A2_outcome_disc,5.771419139939016,2,0.05581517071300235,False
1,test,A2_outcome_clarity,0.994977683113356,2,0.6080556682675775,False
1,test,A2_outcome_len,7.97524945395862,2,0.018543708219973865,True
1,test,A2_outcome_full,23.44130724062993,6,0.000661377326720447,True
1,test,A5_outcome|A2_outcome_full,0.6842535826510546,2,0.710258144428268,False
2,train,A5_outcome_base,53.014075977733974,2,3.077094135051084e-12,True
2,train,A2_outcome_disc,16.239589612466506,2,0.000297589717732194,True
2,train,A2_outcome_clarity,10.974051475150539,2,0.004140139742136673,True
2,train,A2_outcome_len,44.47101906694093,2,2.2041490854718404e-10,True
2,train,A2_outcome_full,182.71352438324197,6,0.0,True
2,train,A5_outcome|A2_outcome_full,17.823814629605025,2,0.00013477453122967553,True
2,test,A5_outcome_base,9.549129120213335,2,0.008441759165966345,True
2,test,A2_outcome_disc,3.6758664382907464,2,0.1591460063573018,False
2,test,A2_outcome_clarity,1.2667618405834877,2,0.5307941910799123,False
2,test,A2_outcome_len,15.248776524303205,2,0.0004883939212043664,True
2,test,A2_outcome_full,46.618281845466555,6,2.229524520558357e-08,True
2,test,A5_outcome|A2_outcome_full,3.1053325529734046,2,0.21168281581335013,False
3,train,A5_outcome_base,50.42484464998489,2,1.1230127938688383e-11,True
3,train,A2_outcome_disc,12.730090764368004,2,0.0017206633701647434,True
3,train,A2_outcome_clarity,16.002350920412617,2,0.00033506853659737157,True
3,train,A2_outcome_len,28.974449167580072,2,5.108322472802129e-07,True
3,train,A2_outcome_full,136.38660323598373,6,0.0,True
3,train,A5_outcome|A2_outcome_full,17.276822508034375,2,0.00017716815395751873,True
3,test,A5_outcome_base,8.380444227404844,2,0.015142921049225433,True
3,test,A2_outcome_disc,2.9934871052479917,2,0.22385795614447723,False
3,test,A2_outcome_clarity,1.667756035506184,2,0.43436155409088706,False
3,test,A2_outcome_len,19.235940470914684,2,6.652250573468965e-05,True
3,test,A2_outcome_full,60.06881727651216,6,4.3584247322314695e-11,True
3,test,A5_outcome|A2_outcome_full,1.7951251063282636,2,0.4075618603982366,False
4,train,A5_outcome_base,45.828674367467464,2,1.1179690506679663e-10,True
4,train,A2_outcome_disc,10.725049507442467,2,0.004689052447477859,True
4,train,A2_outcome_clarity,15.240424330193438,2,0.0004904377662977577,True
4,train,A2_outcome_len,54.31052825364692,2,1.6092682741941644e-12,True
4,train,A2_outcome_full,181.170057409143,6,0.0,True
4,train,A5_outcome|A2_outcome_full,3.514649886220587,2,0.17250570974106805,False
4,test,A5_outcome_base,14.364936070236887,2,0.0007597903369951364,True
4,test,A2_outcome_disc,5.7059067988648895,2,0.05767373551774013,False
4,test,A2_outcome_clarity,2.9142606282767978,2,0.23290367704338322,False
4,test,A2_outcome_len,5.89705222672835,2,0.05241690561935908,False
4,test,A2_outcome_full,38.39857465313999,6,9.387731753074391e-07,True
4,test,A5_outcome|A2_outcome_full,0.3077764752110217,2,0.8573678371394744,False
5,train,A5_outcome_base,41.372954178407014,2,1.0374737735574513e-09,True
5,train,A2_outcome_disc,5.534910104935444,2,0.0628216793520604,False
5,train,A2_outcome_clarity,37.21070828442902,2,8.313757682287815e-09,True
5,train,A2_outcome_len,25.35606543989571,2,3.118892085707259e-06,True
5,train,A2_outcome_full,164.59257344616023,6,0.0,True
5,train,A5_outcome|A2_outcome_full,29.648271291401056,2,3.647200931267136e-07,True
5,test,A5_outcome_base,13.191689744362872,2,0.0013660323003426011,True
5,test,A2_outcome_disc,2.73551023049718,2,0.25467804115789017,False
5,test,A2_outcome_clarity,7.186975348290988,2,0.02750224409607127,True
5,test,A2_outcome_len,12.096096423767644,2,0.002362468547567831,True
5,test,A2_outcome_full,49.65421146256848,6,5.5143846156013865e-09,True
5,test,A5_outcome|A2_outcome_full,3.2731771882885017,2,0.1946429169674775,False
6,train,A5_outcome_base,51.66020560368278,2,6.055156376305604e-12,True
